PARAMETERNAMN,UNIK_PARAMETERKOD,PROV_KOD_ORIGINAL,RAPPORT_KOD_LABB,LABB,UTFOR_LABB,ORGAN,MATVARDETEXT,MATVARDETAL,MATVARDETAL_ANM,ENHET,MATV_STD,RAPPORTERINGSGRANS_LOQ,DETEKTIONSGRANS_LOD,MATOSAKERHET,MATOSAKERHET_ENHET,MATOSAKERHET_TYP,MATVARDESPAR,DATUM_REG,PROV_LAGR,PROV_BERED,PROVKARL,ANALYS_DAT,ANALYS_MET,ACKREDITERAD_MET,ANALYS_INSTR,KOMMENTAR_MATVARDE
Bly,CH01/21,C1968/08011,C1968/08011 ITMM 2483-L160,ITMM,,LEVER,,0.06,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1968/08012,C1968/08012 NRM ,NRM,,HELKROPP,,225,"",g,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1968/08012,C1968/08012 ITMLAM 2483-M119,ITMLAM,,MUSKEL,,21.8,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1968/08012,C1968/08012 ITMM 2483-M119,ITMM,,MUSKEL,,165,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1968/08012,C1968/08012 ITMLAM 2483-L161,ITMLAM,,LEVER,,42.3,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Krom,CH01/81,C1968/08012,C1968/08012 ITMM 2483-L161,ITMM,,LEVER,,0.32,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Nickel,CH01/123,C1968/08012,C1968/08012 ITMM 2483-L161,ITMM,,LEVER,,0.32,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Koppar,CH01/77,C1968/08012,C1968/08012 ITMM 2483-L161,ITMM,,LEVER,,5.45,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Zink,CH01/165,C1968/08012,C1968/08012 ITMM 2483-L161,ITMM,,LEVER,,145,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Kadmium,CH01/55,C1968/08012,C1968/08012 ITMM 2483-L161,ITMM,,LEVER,,0.097,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Bly,CH01/21,C1968/08012,C1968/08012 ITMM 2483-L161,ITMM,,LEVER,,0.23,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1968/08013,C1968/08013 NRM ,NRM,,HELKROPP,,230,"",g,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1968/08013,C1968/08013 ITMLAM 2483-M120,ITMLAM,,MUSKEL,,23.4,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1968/08013,C1968/08013 ITMM 2483-M120,ITMM,,MUSKEL,,155,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1968/08013,C1968/08013 ITMLAM 2483-L162,ITMLAM,,LEVER,,43.3,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Krom,CH01/81,C1968/08013,C1968/08013 ITMM 2483-L162,ITMM,,LEVER,,0.27,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Nickel,CH01/123,C1968/08013,C1968/08013 ITMM 2483-L162,ITMM,,LEVER,,0.07,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Koppar,CH01/77,C1968/08013,C1968/08013 ITMM 2483-L162,ITMM,,LEVER,,6.17,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Zink,CH01/165,C1968/08013,C1968/08013 ITMM 2483-L162,ITMM,,LEVER,,243,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Kadmium,CH01/55,C1968/08013,C1968/08013 ITMM 2483-L162,ITMM,,LEVER,,0.053,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Bly,CH01/21,C1968/08013,C1968/08013 ITMM 2483-L162,ITMM,,LEVER,,0.07,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1968/08014,C1968/08014 NRM ,NRM,,HELKROPP,,540,"",g,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1968/08014,C1968/08014 ITMLAM 2483-M121,ITMLAM,,MUSKEL,,22.9,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1968/08014,C1968/08014 ITMM 2483-M121,ITMM,,MUSKEL,,144,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1968/08014,C1968/08014 ITMLAM 2483-L163,ITMLAM,,LEVER,,41.2,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Krom,CH01/81,C1968/08014,C1968/08014 ITMM 2483-L163,ITMM,,LEVER,,0.29,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Nickel,CH01/123,C1968/08014,C1968/08014 ITMM 2483-L163,ITMM,,LEVER,,0.07,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Koppar,CH01/77,C1968/08014,C1968/08014 ITMM 2483-L163,ITMM,,LEVER,,6.44,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Zink,CH01/165,C1968/08014,C1968/08014 ITMM 2483-L163,ITMM,,LEVER,,196,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Kadmium,CH01/55,C1968/08014,C1968/08014 ITMM 2483-L163,ITMM,,LEVER,,0.068,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Bly,CH01/21,C1968/08014,C1968/08014 ITMM 2483-L163,ITMM,,LEVER,,0.08,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt (medelvärde),CH12/234,C1968/08015-08024,C1968/08015-08024 NRM ,NRM,,HELKROPP,,805,"",g,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1968/08015-08024,C1968/08015-08024 UMU 002s071,UMU,,MUSKEL,,0.64,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
"2,3,7,8-Tetraklordibensofuran (2,3,7,8-TCDF)",CH07/214,C1968/08015-08024,C1968/08015-08024 UMU 002s071,UMU,,MUSKEL,,109.4,"",pg.g-1.lv-1,"",,,,,,"",,FRYST,,,,,,,
"2,3,7,8-Tetraklordibenso-p-dioxin (2,3,7,8-TCDD)",CH07/215,C1968/08015-08024,C1968/08015-08024 UMU 002s071,UMU,,MUSKEL,,12.5,"",pg.g-1.lv-1,"",,,,,,"",,FRYST,,,,,,,
"1,2,3,7,8-Pentaklordibensofuran (1,2,3,7,8-PeCDF)",CH07/60,C1968/08015-08024,C1968/08015-08024 UMU 002s071,UMU,,MUSKEL,,17.2,"",pg.g-1.lv-1,"",,,,,,"",,FRYST,,,,,,,
"2,3,4,7,8-Pentaklordibensofuran (2,3,4,7,8-PeCDF)",CH07/197,C1968/08015-08024,C1968/08015-08024 UMU 002s071,UMU,,MUSKEL,,51.6,"",pg.g-1.lv-1,"",,,,,,"",,FRYST,,,,,,,
"1,2,3,7,8-Pentaklordibenso-p-dioxin (1,2,3,7,8-PeCDD)",CH07/61,C1968/08015-08024,C1968/08015-08024 UMU 002s071,UMU,,MUSKEL,,20.3,"",pg.g-1.lv-1,"",,,,,,"",,FRYST,,,,,,,
"1,2,3,4,7,8-Hexaklordibensofuran (1,2,3,4,7,8-HxCDF)",CH07/32,C1968/08015-08024,C1968/08015-08024 UMU 002s071,UMU,,MUSKEL,,12.5,<,pg.g-1.lv-1,q,12.5,,,,,Ja,,FRYST,,,,,,,
"1,2,3,6,7,8-Hexaklordibensofuran (1,2,3,6,7,8-HxCDF)",CH07/46,C1968/08015-08024,C1968/08015-08024 UMU 002s071,UMU,,MUSKEL,,26.6,<,pg.g-1.lv-1,q,26.6,,,,,Ja,,FRYST,,,,,,,
"2,3,4,6,7,8-Hexaklordibensofuran (2,3,4,6,7,8-HxCDF)",CH07/191,C1968/08015-08024,C1968/08015-08024 UMU 002s071,UMU,,MUSKEL,,14.1,<,pg.g-1.lv-1,q,14.1,,,,,Ja,,FRYST,,,,,,,
"1,2,3,7,8,9-Hexaklordibensofuran (1,2,3,7,8,9-HxCDF)",CH07/52,C1968/08015-08024,C1968/08015-08024 UMU 002s071,UMU,,MUSKEL,,17.2,<,pg.g-1.lv-1,q,17.2,,,,,Ja,,FRYST,,,,,,,
"1,2,3,4,7,8-Hexaklordibenso-p-dioxin (1,2,3,4,7,8-HxCDD)",CH07/33,C1968/08015-08024,C1968/08015-08024 UMU 002s071,UMU,,MUSKEL,,26.6,<,pg.g-1.lv-1,q,26.6,,,,,Ja,,FRYST,,,,,,,
"1,2,3,6,7,8-Hexaklordibenso-p-dioxin (1,2,3,6,7,8-HxCDD)",CH07/47,C1968/08015-08024,C1968/08015-08024 UMU 002s071,UMU,,MUSKEL,,20.3,<,pg.g-1.lv-1,q,20.3,,,,,Ja,,FRYST,,,,,,,
"1,2,3,7,8,9-Hexaklordibenso-p-dioxin (1,2,3,7,8,9-HxCDD)",CH07/53,C1968/08015-08024,C1968/08015-08024 UMU 002s071,UMU,,MUSKEL,,25,<,pg.g-1.lv-1,q,25,,,,,Ja,,FRYST,,,,,,,
"1,2,3,4,6,7,8-Heptaklordibensofuran (1,2,3,4,6,7,8-HpCDF)",CH07/22,C1968/08015-08024,C1968/08015-08024 UMU 002s071,UMU,,MUSKEL,,18.8,<,pg.g-1.lv-1,q,18.8,,,,,Ja,,FRYST,,,,,,,
"1,2,3,4,7,8,9-Heptaklordibensofuran (1,2,3,4,7,8,9-HpCDF)",CH07/27,C1968/08015-08024,C1968/08015-08024 UMU 002s071,UMU,,MUSKEL,,12.5,<,pg.g-1.lv-1,q,12.5,,,,,Ja,,FRYST,,,,,,,
"1,2,3,4,6,7,8-Heptaklordibenso-p-dioxin (1,2,3,4,6,7,8-HpCDD)",CH07/23,C1968/08015-08024,C1968/08015-08024 UMU 002s071,UMU,,MUSKEL,,40.6,<,pg.g-1.lv-1,q,40.6,,,,,Ja,,FRYST,,,,,,,
"1,2,3,4,6,7,8,9-Oktaklordibensofuran (1,2,3,4,6,7,8,9-OCDF)",CH07/16,C1968/08015-08024,C1968/08015-08024 UMU 002s071,UMU,,MUSKEL,,57.8,<,pg.g-1.lv-1,q,57.8,,,,,Ja,,FRYST,,,,,,,
"1,2,3,4,6,7,8,9-Oktaklordibenso-p-dioxin (1,2,3,4,6,7,8,9-OCDD)",CH07/17,C1968/08015-08024,C1968/08015-08024 UMU 002s071,UMU,,MUSKEL,,62.5,<,pg.g-1.lv-1,q,62.5,,,,,Ja,,FRYST,,,,,,,
"2,3,3',4,4'-Pentaklorobifenyl (PCB105)",CH07/175,C1968/08015-08024,C1968/08015-08024 UMU 002s071,UMU,,MUSKEL,,32812.5,"",pg.g-1.lv-1,"",,,,,,"",,FRYST,,,,,,,
"2,3',4,4',5-Pentaklorbifenyl (PCB118)",CH07/185,C1968/08015-08024,C1968/08015-08024 UMU 002s071,UMU,,MUSKEL,,104687.5,"",pg.g-1.lv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt (medelvärde),CH12/234,C1968/08005-08014,C1968/08005-08014 NRM ,NRM,,HELKROPP,,343.5,"",g,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1968/08005-08014,C1968/08005-08014 UMU 002s073,UMU,,MUSKEL,,0.38,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
"2,3,7,8-Tetraklordibensofuran (2,3,7,8-TCDF)",CH07/214,C1968/08005-08014,C1968/08005-08014 UMU 002s073,UMU,,MUSKEL,,39.5,"",pg.g-1.lv-1,"",,,,,,"",,FRYST,,,,,,,
"2,3,7,8-Tetraklordibenso-p-dioxin (2,3,7,8-TCDD)",CH07/215,C1968/08005-08014,C1968/08005-08014 UMU 002s073,UMU,,MUSKEL,,2.6,<,pg.g-1.lv-1,q,2.6,,,,,Ja,,FRYST,,,,,,,
"1,2,3,7,8-Pentaklordibensofuran (1,2,3,7,8-PeCDF)",CH07/60,C1968/08005-08014,C1968/08005-08014 UMU 002s073,UMU,,MUSKEL,,2.6,<,pg.g-1.lv-1,q,2.6,,,,,Ja,,FRYST,,,,,,,
"2,3,4,7,8-Pentaklordibensofuran (2,3,4,7,8-PeCDF)",CH07/197,C1968/08005-08014,C1968/08005-08014 UMU 002s073,UMU,,MUSKEL,,2.6,<,pg.g-1.lv-1,q,2.6,,,,,Ja,,FRYST,,,,,,,
"1,2,3,7,8-Pentaklordibenso-p-dioxin (1,2,3,7,8-PeCDD)",CH07/61,C1968/08005-08014,C1968/08005-08014 UMU 002s073,UMU,,MUSKEL,,2.6,<,pg.g-1.lv-1,q,2.6,,,,,Ja,,FRYST,,,,,,,
"1,2,3,4,7,8-Hexaklordibensofuran (1,2,3,4,7,8-HxCDF)",CH07/32,C1968/08005-08014,C1968/08005-08014 UMU 002s073,UMU,,MUSKEL,,2.6,<,pg.g-1.lv-1,q,2.6,,,,,Ja,,FRYST,,,,,,,
"1,2,3,6,7,8-Hexaklordibensofuran (1,2,3,6,7,8-HxCDF)",CH07/46,C1968/08005-08014,C1968/08005-08014 UMU 002s073,UMU,,MUSKEL,,2.6,<,pg.g-1.lv-1,q,2.6,,,,,Ja,,FRYST,,,,,,,
"2,3,4,6,7,8-Hexaklordibensofuran (2,3,4,6,7,8-HxCDF)",CH07/191,C1968/08005-08014,C1968/08005-08014 UMU 002s073,UMU,,MUSKEL,,2.6,<,pg.g-1.lv-1,q,2.6,,,,,Ja,,FRYST,,,,,,,
"1,2,3,7,8,9-Hexaklordibensofuran (1,2,3,7,8,9-HxCDF)",CH07/52,C1968/08005-08014,C1968/08005-08014 UMU 002s073,UMU,,MUSKEL,,2.6,<,pg.g-1.lv-1,q,2.6,,,,,Ja,,FRYST,,,,,,,
"1,2,3,4,7,8-Hexaklordibenso-p-dioxin (1,2,3,4,7,8-HxCDD)",CH07/33,C1968/08005-08014,C1968/08005-08014 UMU 002s073,UMU,,MUSKEL,,7.9,<,pg.g-1.lv-1,q,7.9,,,,,Ja,,FRYST,,,,,,,
"1,2,3,6,7,8-Hexaklordibenso-p-dioxin (1,2,3,6,7,8-HxCDD)",CH07/47,C1968/08005-08014,C1968/08005-08014 UMU 002s073,UMU,,MUSKEL,,7.9,<,pg.g-1.lv-1,q,7.9,,,,,Ja,,FRYST,,,,,,,
"1,2,3,7,8,9-Hexaklordibenso-p-dioxin (1,2,3,7,8,9-HxCDD)",CH07/53,C1968/08005-08014,C1968/08005-08014 UMU 002s073,UMU,,MUSKEL,,7.9,<,pg.g-1.lv-1,q,7.9,,,,,Ja,,FRYST,,,,,,,
"1,2,3,4,6,7,8-Heptaklordibensofuran (1,2,3,4,6,7,8-HpCDF)",CH07/22,C1968/08005-08014,C1968/08005-08014 UMU 002s073,UMU,,MUSKEL,,52.6,<,pg.g-1.lv-1,q,52.6,,,,,Ja,,FRYST,,,,,,,
"1,2,3,4,7,8,9-Heptaklordibensofuran (1,2,3,4,7,8,9-HpCDF)",CH07/27,C1968/08005-08014,C1968/08005-08014 UMU 002s073,UMU,,MUSKEL,,52.6,<,pg.g-1.lv-1,q,52.6,,,,,Ja,,FRYST,,,,,,,
"1,2,3,4,6,7,8-Heptaklordibenso-p-dioxin (1,2,3,4,6,7,8-HpCDD)",CH07/23,C1968/08005-08014,C1968/08005-08014 UMU 002s073,UMU,,MUSKEL,,52.6,<,pg.g-1.lv-1,q,52.6,,,,,Ja,,FRYST,,,,,,,
"1,2,3,4,6,7,8,9-Oktaklordibensofuran (1,2,3,4,6,7,8,9-OCDF)",CH07/16,C1968/08005-08014,C1968/08005-08014 UMU 002s073,UMU,,MUSKEL,,131.6,<,pg.g-1.lv-1,q,131.6,,,,,Ja,,FRYST,,,,,,,
"1,2,3,4,6,7,8,9-Oktaklordibenso-p-dioxin (1,2,3,4,6,7,8,9-OCDD)",CH07/17,C1968/08005-08014,C1968/08005-08014 UMU 002s073,UMU,,MUSKEL,,131.6,<,pg.g-1.lv-1,q,131.6,,,,,Ja,,FRYST,,,,,,,
"3,3',4,4'-Tetraklorbifenyl (PCB77)",CH07/260,C1968/08005-08014,C1968/08005-08014 UMU 002s073,UMU,,MUSKEL,,210.5,"",pg.g-1.lv-1,"",,,,,,"",,FRYST,,,,,,,
"3,3',4,4',5-Pentaklorbifenyl (PCB126)",CH07/258,C1968/08005-08014,C1968/08005-08014 UMU 002s073,UMU,,MUSKEL,,281.6,"",pg.g-1.lv-1,"",,,,,,"",,FRYST,,,,,,,
"3,3',4,4',5,5'-Hexaklorbifenyl (PCB169)",CH07/256,C1968/08005-08014,C1968/08005-08014 UMU 002s073,UMU,,MUSKEL,,89.5,"",pg.g-1.lv-1,"",,,,,,"",,FRYST,,,,,,,
"2,3,3',4,4'-Pentaklorobifenyl (PCB105)",CH07/175,C1968/08005-08014,C1968/08005-08014 UMU 002s073,UMU,,MUSKEL,,20789,"",pg.g-1.lv-1,"",,,,,,"",,FRYST,,,,,,,
"2,3',4,4',5-Pentaklorbifenyl (PCB118)",CH07/185,C1968/08005-08014,C1968/08005-08014 UMU 002s073,UMU,,MUSKEL,,82368,"",pg.g-1.lv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1969/08042,C1969/08042 NRM ,NRM,,HELKROPP,,1070,"",g,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1969/08043,C1969/08043 NRM ,NRM,,HELKROPP,,715,"",g,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1969/08044,C1969/08044 NRM ,NRM,,HELKROPP,,1045,"",g,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1969/08045,C1969/08045 NRM ,NRM,,HELKROPP,,1320,"",g,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1969/08046,C1969/08046 NRM ,NRM,,HELKROPP,,1395,"",g,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1969/08047,C1969/08047 NRM ,NRM,,HELKROPP,,365,"",g,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1969/08048,C1969/08048 NRM ,NRM,,HELKROPP,,765,"",g,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1969/08049,C1969/08049 NRM ,NRM,,HELKROPP,,505,"",g,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1969/08050,C1969/08050 NRM ,NRM,,HELKROPP,,1155,"",g,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1969/08051,C1969/08051 NRM ,NRM,,HELKROPP,,495,"",g,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1969/08052,C1969/08052 NRM ,NRM,,HELKROPP,,670,"",g,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1969/08053,C1969/08053 NRM ,NRM,,HELKROPP,,515,"",g,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1969/08054,C1969/08054 NRM ,NRM,,HELKROPP,,995,"",g,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1969/08055,C1969/08055 NRM ,NRM,,HELKROPP,,915,"",g,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1969/08056,C1969/08056 NRM ,NRM,,HELKROPP,,590,"",g,"",,,,,,"",,FRYST,,,,,,,
"2,2',4,4',5,6'-Hexabromdifenyleter (PBDE154)",CH07/139,C69/,C69/ NSL POOL 820447-456,NSL,,MUSKEL,,0.306,"",ng.g-1.lv-1,"",,,,,,"",,FRYST,,,,,,,
"2,2',4,4',5,5'-Hexabromdifenyleter (PBDE153)",CH07/137,C69/,C69/ NSL POOL 820447-456,NSL,,MUSKEL,,0.41,"",ng.g-1.lv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1969/08027,C1969/08027 NRM ,NRM,,HELKROPP,,1195,"",g,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1969/08027,C1969/08027 NSL 820447,NSL,,MUSKEL,,0.69,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1969/08028,C1969/08028 NRM ,NRM,,HELKROPP,,1175,"",g,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1969/08028,C1969/08028 NSL 820448,NSL,,MUSKEL,,0.75,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1969/08029,C1969/08029 NRM ,NRM,,HELKROPP,,1385,"",g,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1969/08029,C1969/08029 NSL 820449,NSL,,MUSKEL,,0.72,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1969/08030,C1969/08030 NRM ,NRM,,HELKROPP,,1305,"",g,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1969/08030,C1969/08030 NSL 820450,NSL,,MUSKEL,,0.62,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1969/08031,C1969/08031 NRM ,NRM,,HELKROPP,,925,"",g,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1969/08031,C1969/08031 NSL 820451,NSL,,MUSKEL,,0.7,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1969/08032,C1969/08032 NRM ,NRM,,HELKROPP,,835,"",g,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1969/08032,C1969/08032 NSL 820452,NSL,,MUSKEL,,0.79,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1969/08033,C1969/08033 NRM ,NRM,,HELKROPP,,1385,"",g,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1969/08033,C1969/08033 NSL 820453,NSL,,MUSKEL,,0.96,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1969/08034,C1969/08034 NRM ,NRM,,HELKROPP,,1675,"",g,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1969/08034,C1969/08034 NSL 820454,NSL,,MUSKEL,,0.66,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1969/08035,C1969/08035 NRM ,NRM,,HELKROPP,,1340,"",g,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1969/08035,C1969/08035 NSL 820455,NSL,,MUSKEL,,0.64,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1969/08036,C1969/08036 NRM ,NRM,,HELKROPP,,1535,"",g,"",,,,,,"",,FRYST,,,,,,,
"Fettvikt, %",CH12/68,C1969/08036,C1969/08036 NSL 820456,NSL,,MUSKEL,,0.73,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1969/08037,C1969/08037 NRM ,NRM,,HELKROPP,,1190,"",g,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1969/08038,C1969/08038 NRM ,NRM,,HELKROPP,,565,"",g,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1969/08039,C1969/08039 NRM ,NRM,,HELKROPP,,670,"",g,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1969/08001,C1969/08001 NRM ,NRM,,HELKROPP,,415,"",g,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1969/08002,C1969/08002 NRM ,NRM,,HELKROPP,,625,"",g,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1969/08003,C1969/08003 NRM ,NRM,,HELKROPP,,450,"",g,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1969/08003,C1969/08003 ITMLAM 2483-M055,ITMLAM,,MUSKEL,,25.8,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1969/08003,C1969/08003 ITMM 2483-M055,ITMM,,MUSKEL,,208,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1969/08003,C1969/08003 ITMLAM 2483-L055,ITMLAM,,LEVER,,48.5,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Krom,CH01/81,C1969/08003,C1969/08003 ITMM 2483-L055,ITMM,,LEVER,,0.18,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Nickel,CH01/123,C1969/08003,C1969/08003 ITMM 2483-L055,ITMM,,LEVER,,0.05,<,ug.g-1.tv-1,q,0.05,,,,,Ja,,FRYST,,,,,,,
Koppar,CH01/77,C1969/08003,C1969/08003 ITMM 2483-L055,ITMM,,LEVER,,3.16,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Zink,CH01/165,C1969/08003,C1969/08003 ITMM 2483-L055,ITMM,,LEVER,,232,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Kadmium,CH01/55,C1969/08003,C1969/08003 ITMM 2483-L055,ITMM,,LEVER,,0.041,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Bly,CH01/21,C1969/08003,C1969/08003 ITMM 2483-L055,ITMM,,LEVER,,0.03,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1969/08004,C1969/08004 NRM ,NRM,,HELKROPP,,1000,"",g,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1969/08004,C1969/08004 ITMLAM 2483-M056,ITMLAM,,MUSKEL,,23.1,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Kvicksilver,CH01/86,C1969/08004,C1969/08004 ITMM 2483-M056,ITMM,,MUSKEL,,377,"",ng.g-1.vv-1,"",,,,,,"",,FRYST,,,,,,,
"Torrvikt, %",CH12/224,C1969/08004,C1969/08004 ITMLAM 2483-L056,ITMLAM,,LEVER,,48.4,"",Procent_av_vv,"",,,,,,"",,FRYST,,,,,,,
Krom,CH01/81,C1969/08004,C1969/08004 ITMM 2483-L056,ITMM,,LEVER,,0.2,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Nickel,CH01/123,C1969/08004,C1969/08004 ITMM 2483-L056,ITMM,,LEVER,,0.05,<,ug.g-1.tv-1,q,0.05,,,,,Ja,,FRYST,,,,,,,
Koppar,CH01/77,C1969/08004,C1969/08004 ITMM 2483-L056,ITMM,,LEVER,,11,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Zink,CH01/165,C1969/08004,C1969/08004 ITMM 2483-L056,ITMM,,LEVER,,141,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Kadmium,CH01/55,C1969/08004,C1969/08004 ITMM 2483-L056,ITMM,,LEVER,,0.038,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Bly,CH01/21,C1969/08004,C1969/08004 ITMM 2483-L056,ITMM,,LEVER,,0.03,"",ug.g-1.tv-1,"",,,,,,"",,FRYST,,,,,,,
Vikt,CH12/232,C1969/08005,C1969/08005 NRM ,NRM,,HELKROPP,,1180,"",g,"",,,,,,"",,FRYST,,,,,,,
